Country,Year,Date,Holiday_Name,Local_Name,Type,Description
US,2025,2025-05-03,National Explosive Ordnance Disposal (EOD) Day,,Observance,National Explosive Ordnance Disposal (EOD) Day is an occasion to remember those serving the profession of explosive ordnance disposal in the United States Armed Forces.
US,2025,2025-05-03,World Press Freedom Day,,United Nations observance,World Press Freedom Day focuses on the importance of the freedom of the press and freedom of expression.
US,2025,2025-05-04,International Family Equality Day,,Worldwide observance,International Family Equality Day is a worldwide observance in the USA
US,2025,2025-05-05,Cinco de Mayo,,Observance,"'Cinco de Mayo' means ""Fifth of May"" in Spanish and is a festival of Mexican pride and heritage."
US,2025,2025-05-05,World Portuguese Language Day,,United Nations observance,World Portuguese Language Day is a United Nations observance in the USA
US,2025,2025-05-06,National Nurses Day,,Observance,National Nurses Day is an occasion to honor the work of nurses.
US,2025,2025-05-06,National Teacher Appreciation Day,,Observance,National Teacher Appreciation Day is a observance in the USA
US,2025,2025-05-08,Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War,,United Nations observance,"The United Nations’ (UN) Time of Remembrance and Reconciliation for Those Who Lost Their Lives during the Second World War is annually held over two days, from May 8-9."
US,2025,2025-05-08,Victory in Europe Day,,Observance,Victory in Europe Day is a observance in the USA
US,2025,2025-05-08,World Ovarian Cancer Day,,Worldwide observance,World Ovarian Cancer Day aims to spread global awareness about ovarian cancer.
US,2025,2025-05-08,World Red Cross and Red Crescent Day,,Worldwide observance,World Red Cross and Red Crescent Day is a worldwide observance in the USA
US,2025,2025-05-09,Military Spouse Appreciation Day,,Observance,Appreciate and thank all the military spouses and partners you know on Military Spouse Appreciation Day.
US,2025,2025-05-10,International Day of Argania,,United Nations observance,International Day of Argania is a United Nations observance in the USA
US,2025,2025-05-10,World Migratory Bird Day,,United Nations observance,World Migratory Bird Day is observed the second weekend of May every year.
US,2025,2025-05-11,Mother's Day,,Observance,Mother's Day celebrates the role of mothers and mother figures.
US,2025,2025-05-12,Day of Vesak,,United Nations observance,Vesak Day is a Buddhist holiday that celebrates the birth of its founder. It is usually observed on the day of the full moon in May.
US,2025,2025-05-12,International Nurses Day,,Worldwide observance,International Nurses Day focuses on the critical contribution of nurses around the world in maintaining public health.
US,2025,2025-05-15,International Day of Families,,United Nations observance,"The International Day of Families is an occasion to celebrate the importance of families to people, societies and cultures around the world."
US,2025,2025-05-15,Peace Officers Memorial Day,,Observance,"Peace Officers Memorial Day is held annually in the United States on May 15 in honor of federal, state and local officers killed or disabled in the line of duty."
US,2025,2025-05-16,International Day of Light,,United Nations observance,International Day of Light is a United Nations observance in the USA
US,2025,2025-05-16,International Day of Living Together in Peace,,United Nations observance,International Day of Living Together in Peace is a United Nations observance in the USA
US,2025,2025-05-16,Lag BaOmer,,Hebrew,Many Jewish Americans observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.
US,2025,2025-05-16,National Defense Transportation Day,,Observance,National Defense Transportation Day occurs annually in the United States on the third Friday of May.
US,2025,2025-05-17,Armed Forces Day,,Observance,Armed Forces Day is a national observance in the United States on the third Saturday of May each year.
US,2025,2025-05-17,Preakness Stakes,,Sporting event,The Preakness Stakes is the second event in the Triple Crown and is annually held two weeks after the Kentucky Derby.
US,2025,2025-05-17,World Telecommunication and Information Society Day,,United Nations observance,World Information Society Day is celebrated each year to raise awareness of how information and communication can be beneficial for societies and economies.
US,2025,2025-05-20,World Autoimmune / Autoinflammatory Arthritis Day,,Worldwide observance,World Autoimmune / Autoinflammatory Arthritis Day is a worldwide observance in the USA
US,2025,2025-05-20,World Bee Day,,United Nations observance,World Bee Day is a United Nations observance in the USA
US,2025,2025-05-21,Emergency Medical Services for Children Day,,Observance,"Emergency Medical Services for Children (EMSC) Day is observed on the Wednesday of Emergency Medical Services (EMS) Week, May 19–25, in the United States."
US,2025,2025-05-21,International Tea Day,,United Nations observance,International Tea Day is a United Nations observance in the USA
US,2025,2025-05-21,World Day for Cultural Diversity for Dialogue and Development,,United Nations observance,"The World Day for Cultural Diversity for Dialogue and Development, held on May 21, is an occasion for people to deepen their understanding of cultural diversity."
US,2025,2025-05-22,International Day for Biological Diversity,,United Nations observance,The International Day for Biological Diversity is an occasion to increase the global understanding and awareness of issues and challenges around biodiversity.
US,2025,2025-05-22,National Maritime Day,,Observance,"National Maritime Day is annually observed in the United States on May 22. It is a time to observe its maritime heritage, to honor those who served as merchant mariners, and to recognize the benefits of the maritime industry."
US,2025,2025-05-23,International Day to End Obstetric Fistula,,United Nations observance,The International Day to End Obstetric Fistula raises awareness of fistula and calls for support to tackle the problem.
US,2025,2025-05-25,African Liberation Day,,Worldwide observance,African Liberation Day celebrates African nations' hard-fought freedom from European colonial powers.
US,2025,2025-05-25,National Missing Children's Day,,Observance,National Missing Children's Day is an observation dedicated to addressing the problem of child abduction.
US,2025,2025-05-26,Memorial Day,,National holiday,Memorial Day commemorates all Americans who have died in military service for the United States.
US,2025,2025-05-29,Ascension Day,,Christian,Ascension Day is the 40th day of Easter and commemorates the ascension of Jesus Christ into heaven.
US,2025,2025-05-29,International Day of United Nations Peacekeepers,,United Nations observance,The International Day of United Nations Peacekeepers is an occasion to pay tribute to people who served in United Nations (UN) peacekeeping operations.
US,2025,2025-05-31,World No Tobacco Day,,United Nations observance,World No Tobacco Day draws attention to the health problems caused by tobacco use.
US,2025,2025-06-01,First Day of Caribbean-American Heritage Month,,Observance,First Day of Caribbean-American Heritage Month is a annual monthly observance in the USA
US,2025,2025-06-01,First Day of Pride Month,,Observance,First Day of Pride Month is a annual monthly observance in the USA
US,2025,2025-06-01,Global Day of Parents,,United Nations observance,Global Day of Parents appreciates the role of a parent in nurturing and fostering growth for their children.
US,2025,2025-06-02,Shavuot,,Hebrew,"Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals."
US,2025,2025-06-03,World Bicycle Day,,United Nations observance,World Bicycle Day is a United Nations observance in the USA
US,2025,2025-06-04,International Day of Innocent Children Victims of Aggression,,United Nations observance,The United Nations' (UN) International Day of Innocent Children Victims of Aggression is observed on June 4 each year.
US,2025,2025-06-05,"International Day for the Fight against Illegal, Unreported and Unregulated Fishing",,United Nations observance,"International Day for the Fight against Illegal, Unreported and Unregulated Fishing is a United Nations observance in the USA"
US,2025,2025-06-05,World Environment Day,,United Nations observance,World Environment Day is held each year on June 5. It is one of the principal vehicles through which the United Nations (UN) stimulates worldwide awareness of the environment and enhances political attention and action.
US,2025,2025-06-06,D-Day,,Observance,"D-Day is a special anniversary in some countries, including the United States (U.S.), to remember Allied forces’ invasion of Normandy, France, in the Second World War."
US,2025,2025-06-06,Day of the Russian Language,,United Nations observance,Day of the Russian Language is a United Nations observance in the USA
US,2025,2025-06-07,Belmont Stakes,,Sporting event,The Belmont Stakes is the third and final horse race of the Triple Crown. It is run annually five weeks after the Kentucky Derby.
US,2025,2025-06-07,Eid al-Adha,,Muslim,"For more than 3 millions Muslims in the US, Eid al-Adha, the Festival of Sacrifice, is one of the most important dates in the calendar."
US,2025,2025-06-07,World Food Safety Day,,United Nations observance,World Food Safety Day is a United Nations observance in the USA
US,2025,2025-06-08,Pentecost,,Christian,"Many Christians in the United States observe Pentecost, also known as Whitsunday or Whit Sunday."
US,2025,2025-06-08,World Oceans Day,,United Nations observance,World Oceans Day is annually observed on June 8 to raise awareness of the challenges humanity faces to protect the world's oceans.
US,2025,2025-06-09,Whit Monday,,Christian,"Many Christians in the United States will observe Whit Monday, or Pentecost Monday. It is the day after Pentecost, which is also known as Whit Sunday or Whitsunday."
US,2025,2025-06-12,Loving Day,,Observance,Loving Day is a observance in the USA
US,2025,2025-06-12,World Day Against Child Labour,,United Nations observance,Poverty and injustice against widows is a world-wide problem addressed by International Widows' Day.
US,2025,2025-06-13,Friday the 13th,,Worldwide observance,Friday the 13th is a day full of superstitious beliefs in communities worldwide.
US,2025,2025-06-13,International Albinism Awareness Day,,United Nations observance,International Albinism Awareness Day aims to stop the persecution and murders of people with albinism.
US,2025,2025-06-14,Army Birthday,,Observance,Army Birthday is a observance in the USA
US,2025,2025-06-14,Flag Day,,Observance,Flag Day is annually held on June 14 to honor the United States flag.
US,2025,2025-06-14,World Blood Donor Day,,United Nations observance,On World Blood Donor Day numerous events are held worldwide to raise awareness about the importance of safe blood supplies.
US,2025,2025-06-15,Father's Day,,Observance,Father's Day celebrates the contribution that fathers and father figures make to the lives of their children.
US,2025,2025-06-15,Trinity Sunday,,Christian,Trinity Sunday is the first Sunday after Pentecost and is celebrated by many Christians in the United States.
US,2025,2025-06-15,World Elder Abuse Awareness Day,,United Nations observance,"World Elder Abuse Awareness Day attempts to shine a light on the problem of physical, emotional, and financial abuse of elders."
US,2025,2025-06-16,International Day of Family Remittances,,United Nations observance,The UN estimates that family remittances worth over 500 billion US$ are transferred worldwide every year.
US,2025,2025-06-17,World Day to Combat Desertification and Drought,,United Nations observance,The United Nations' World Day to Combat Desertification and Drought is observed worldwide on June 17 each year.
US,2025,2025-06-18,Sustainable Gastronomy Day,,United Nations observance,Sustainable Gastronomy Day is a United Nations observance in the USA
US,2025,2025-06-19,Corpus Christi,,Christian,Corpus Christi is observed in honor of the Holy Eucharist.
US,2025,2025-06-19,International Day for the Elimination of Sexual Violence in Conflict,,United Nations observance,International Day for the Elimination of Sexual Violence in Conflict is a UN day aiming to rid the world of conflict-related sexual violence.
US,2025,2025-06-19,Juneteenth,,National holiday,"Juneteenth, also known as Freedom Day and Emancipation Day, is a holiday or observance in many US states to celebrate the anniversary of the abolition of slavery in Texas on June 19, 1865."
US,2025,2025-06-20,American Eagle Day,,Observance,"Observed annually on June 20 in 47 American states, American Eagle Day is an unofficial holiday that celebrates the removal of the American Bald Eagle from a list of ""endangered species""."
US,2025,2025-06-20,World Refugee Day,,United Nations observance,"The United Nations' World Refugee Day honors refugees' courage, strength and determination."
US,2025,2025-06-21,International Day of Yoga,,United Nations observance,The International Day of Yoga is a UN-day that aims to raise awareness worldwide of the many benefits of practicing yoga.
US,2025,2025-06-21,International Day of the Celebration of the Solstice,,United Nations observance,International Day of the Celebration of the Solstice is a United Nations observance in the USA
US,2025,2025-06-23,International Widows' Day,,United Nations observance,Poverty and injustice against widows is a world-wide problem addressed by International Widows' Day.
US,2025,2025-06-23,Public Service Day,,United Nations observance,The United Nations’ Public Service Day celebrates the idea that democracy and successful governance depend on a competent civil service.
US,2025,2025-06-25,Day of the Seafarer,,United Nations observance,"The Day of the Seafarer aims to acknowledge the social, and economic contribution of the millions of seafarers around the world."
US,2025,2025-06-26,International Day Against Drug Abuse and Illicit Trafficking,,United Nations observance,The United Nations’ (UN) International Day Against Drug Abuse and Illicit Trafficking raise awareness about the dangers of illicit drugs.
US,2025,2025-06-26,International Day in Support of Victims of Torture,,United Nations observance,The United Nations’ (UN) International Day in Support of Victims of Torture is annually observed on June 26 to remind people that human torture is not only unacceptable – it is also a crime.
US,2025,2025-06-27,"Micro-, Small and Medium-sized Enterprises Day",,United Nations observance,"Micro-, Small and Medium-sized Enterprises Day is a United Nations observance in the USA"
US,2025,2025-06-27,Muharram,,Muslim,"The first day of Muharram, which is the first month in the Islamic calendar, marks the start of the Islamic New Year."
US,2025,2025-06-29,International Day of the Tropics,,United Nations observance,International Day of the Tropics is a United Nations observance in the USA
US,2025,2025-06-30,International Asteroid Day,,United Nations observance,The United Nations established International Asteroid Day to raise public awareness of the asteroid impact hazard.
US,2025,2025-06-30,International Day of Parliamentarism,,United Nations observance,International Day of Parliamentarism is a United Nations observance in the USA
US,2025,2025-07-04,Independence Day,,National holiday,"On Independence Day, Americans celebrate the anniversary of publication of the Declaration of Independence from Great Britain in 1776."
US,2025,2025-07-05,International Day of Cooperatives,,United Nations observance,"The United Nations' (UN) International Day of Cooperatives recognizes and reaffirms the role of cooperatives in economic, social and cultural development and in the achievement of social policy objectives."
US,2025,2025-07-06,Ashura,,Muslim,Ashura is a Muslim in the USA
US,2025,2025-07-11,World Population Day,,United Nations observance,The United Nations' (UN) World Population Day reaffirms the human right to plan for a family.
US,2025,2025-07-14,Bastille Day,,Observance,Bastille Day is a observance in the USA
US,2025,2025-07-15,World Youth Skills Day,,United Nations observance,Acquiring skills enhances youths' ability to make informed choices and empowers them to gain access to changing labor markets.
US,2025,2025-07-16,Rural Transit Day,,Observance,Rural Transit Day is a observance in the USA
US,2025,2025-07-18,Nelson Mandela Day,,United Nations observance,Nelson Mandela International Day is annually observed on July 18 to recognize the former South African president’s contribution to peace and freedom.
US,2025,2025-07-20,World Chess Day,,United Nations observance,World Chess Day is a United Nations observance in the USA
US,2025,2025-07-25,World Drowning Prevention Day,,United Nations observance,World Drowning Prevention Day is a United Nations observance in the USA
US,2025,2025-07-27,National Korean War Veterans Armistice Day,,Observance,National Korean War Veterans Armistice Day is a observance in the USA
US,2025,2025-07-27,Parents' Day,,Observance,Parents’ Day is celebrated in the United States on the fourth Sunday of July each year to recognize and promote parenting as a crucial part of families and the wider community.
US,2025,2025-07-28,World Hepatitis Day,,United Nations observance,World Hepatitis Day is observed on July 28 every year to raise awareness of hepatitis and encourage prevention and treatment.
US,2025,2025-07-30,International Day of Friendship,,United Nations observance,The International Day of Friendship is annually held on July 30 to celebrate friendships worldwide.
US,2025,2025-07-30,World Day Against Trafficking in Persons,,United Nations observance,July 30 is the UN World Day Against Trafficking in Persons
US,2025,2025-08-03,Tisha B'Av,,Hebrew,Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.
US,2025,2025-08-04,Barack Obama Day,,Observance,Barack Obama Day is a observance in the USA
US,2025,2025-08-04,Coast Guard Birthday,,Observance,Coast Guard Birthday is a observance in the USA
US,2025,2025-08-07,Purple Heart Day,,Observance,Purple Heart Day on August 7 commemorates the day in 1782 when General George Washington created the Purple Heart Medal – a military decoration that is awarded to those wounded or killed while serving in the United States Armed Forces.
US,2025,2025-08-09,International Day of the World's Indigenous People,,United Nations observance,The United Nations’ (UN) International Day of the World's Indigenous People is observed on August 9 each year to promote and protect the rights of the world’s indigenous peoples.
US,2025,2025-08-12,International Youth Day,,United Nations observance,The United Nations’ (UN) International Youth Day is annually held on August 12 to celebrate the achievements of the world’s youth and to encourage their participation in enhancing society.
US,2025,2025-08-15,Assumption of Mary,,Christian,Assumption Day is a Christian observance in the United States that is held annually on August 15. Catholics observe the Dormition (falling asleep) or the day that the Blessed Virgin Mary was received into heaven.
US,2025,2025-08-17,National Senior Citizens Day,,Observance,National Senior Citizens Day is an observance on the third Sunday of August to honor the contributions of senior citizens in the United States.
US,2025,2025-08-19,National Aviation Day,,Observance,National Aviation Day is observed in the United States on August 19 each year to celebrate the history and development of the aviation.
US,2025,2025-08-19,World Humanitarian Day,,United Nations observance,The United Nations’(UN) World Humanitarian Day focuses on increasing public awareness about humanitarian service worldwide and is annually observed on August 19.
US,2025,2025-08-21,International Day of Remembrance of and Tribute to the Victims of Terrorism,,United Nations observance,International Day of Remembrance of and Tribute to the Victims of Terrorism is a United Nations observance in the USA
US,2025,2025-08-22,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief,,United Nations observance,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief is a United Nations observance in the USA
US,2025,2025-08-23,International Day for the Remembrance of the Slave Trade and its Abolition,,United Nations observance,The United Nations’ (UN) International Day for the Remembrance of the Slave Trade and its Abolition is held on August 23 each year to remind people of the tragedy of the transatlantic slave trade.
US,2025,2025-08-26,Women's Equality Day,,Observance,Women's Equality Day on August 26 is an annual observance that commemorates the anniversary of the first time voting rights were extended to women in the United States.
US,2025,2025-08-29,International Day against Nuclear Tests,,United Nations observance,The United Nations’ (UN) International Day against Nuclear Tests is annually observed on August 29. The day raises awareness of the dangers of nuclear weapons and a closer approach to eliminating the use of those weapons.
US,2025,2025-08-30,International Day of the Victims of Enforced Disappearances,,United Nations observance,The International Day of the Victims of Enforced Disappearances is annually observed on August 30.
US,2025,2025-08-31,International Day for People of African Descent,,United Nations observance,International Day for People of African Descent is a United Nations observance in the USA
US,2025,2025-08-31,International Overdose Awareness Day,,Worldwide observance, International Overdose Awareness Day is an annual observation which aims to raise global awareness of about the impact of drug overdose on families and communities. The campaign also attempts to remove the stigma associated with overdose.
US,2025,2025-09-01,Labor Day,,National holiday,Labor Day is a federal holiday in the United States. It gives workers a day of rest and it celebrates their contribution to the American economy.
US,2025,2025-09-04,World Sexual Health Day,,Worldwide observance, World Sexual Health Day is an annual awareness day that attempts to break down social and cultural taboos associated with sexuality and to promote sexual health around the world.
US,2025,2025-09-05,International Day of Charity,,United Nations observance,The International Day of Charity raises public awareness of what charities do to help minimize poverty.
US,2025,2025-09-05,The Prophet's Birthday,,Muslim,Eid Milad ul-Nabi (Mawlid or Milad-un-Nabi) commemorates the Prophet Muhammed's birthday.
US,2025,2025-09-06,Carl Garner Federal Lands Cleanup Day,,Observance,Carl Garner Federal Lands Cleanup Day encourages people in the United States to participate in cleaning up the federal lands. It is observed on the first Saturday after Labor Day.
US,2025,2025-09-07,International Day of Clean Air for Blue Skies,,United Nations observance,International Day of Clean Air for Blue Skies is a United Nations observance in the USA
US,2025,2025-09-07,National Grandparents Day,,Observance,National Grandparents Day is celebrated on the first Sunday of September after Labor Day in the United States.
US,2025,2025-09-07,Still's Disease Awareness Day,,Worldwide observance,Still's Disease Awareness Day is a worldwide observance in the USA
US,2025,2025-09-08,International Literacy Day,,United Nations observance,The United Nations' (UN) International Literacy Day is held on September 8 each year.
US,2025,2025-09-09,International Day to Protect Education from Attack,,United Nations observance,International Day to Protect Education from Attack is a United Nations observance in the USA
US,2025,2025-09-10,World Suicide Prevention Day,,Worldwide observance,World Suicide Prevention Day promotes worldwide action to prevent suicides on September 10 each year.
US,2025,2025-09-11,Patriot Day,,Observance,"Patriot Day is held in memory of nearly 3000 people who died during terrorist attacks in New York, Washington DC and Shanksville, Pennsylvania, in the United States."
US,2025,2025-09-12,International Day for South-South Cooperation,,United Nations observance,The United Nations Day for South-South Cooperation is observed on September 12 each year.
US,2025,2025-09-13,International Programmers' Day,,Worldwide observance,"Many people celebrate International Programmers’ Day on January 7, while others observe this event on the 256th day of the year, usually on September 13 or on September 12 in leap years."
US,2025,2025-09-15,First Day of National Hispanic Heritage Month,,Observance,First Day of National Hispanic Heritage Month is a annual monthly observance in the USA
US,2025,2025-09-15,International Day of Democracy,,United Nations observance,The United Nations’ (UN) International Day of Democracy is observed on September 15 each year.
US,2025,2025-09-16,International Day for the Preservation of the Ozone Layer,,United Nations observance,The United Nations' (UN) International Day for the Preservation of the Ozone Layer focuses on the importance of protecting human health and the environment.
US,2025,2025-09-17,Constitution Day and Citizenship Day,,Observance,Constitution Day and Citizenship Day is a combined event that occurs in the United States on September 17 each year.
US,2025,2025-09-17,World Patient Safety Day,,United Nations observance,World Patient Safety Day is a United Nations observance in the USA
US,2025,2025-09-18,Air Force Birthday,,Observance,Air Force Birthday is a observance in the USA
US,2025,2025-09-18,International Equal Pay Day,,United Nations observance,International Equal Pay Day is a United Nations observance in the USA
US,2025,2025-09-19,National POW/MIA Recognition Day,,Observance,National POW/MIA Recognition Day is annually observed in the United States on the third Friday of September.
US,2025,2025-09-21,International Day of Peace,,United Nations observance,"The United Nations' (UN) International Day of Peace is annually held on September 21 to recognize the efforts of individuals, organizations and governments to end conflict and promote peace."
US,2025,2025-09-23,International Celebrate Bisexuality Day,,Worldwide observance,"International Celebrate Bisexuality Day, also known as Bi Visibility Day, promotes the rights of bisexual people around the world."
US,2025,2025-09-23,International Day of Sign Languages,,United Nations observance,International Day of Sign Languages is a United Nations observance in the USA
US,2025,2025-09-23,Rosh Hashana,,Hebrew,Rosh Hashanah is the Jewish New Year. Many Jewish-run organizations in the US are closed during the two-day celebration.
US,2025,2025-09-25,World Maritime Day,,United Nations observance,"World Maritime Day is held on the last week of September each year, although the exact date is up to individual governments around the world."
US,2025,2025-09-26,International Day for the Total Elimination of Nuclear Weapons,,United Nations observance,The International Day for the Total Elimination of Nuclear Weapons raises awareness about the dangers of nuclear weapons.
US,2025,2025-09-27,National Public Lands Day,,Observance,National Public Lands Day is a observance in the USA
US,2025,2025-09-27,World Tourism Day,,United Nations observance,The United Nations’ (UN) World Tourism Day is annually held on September 27 to raise awareness on the benefits of tourism.
US,2025,2025-09-28,Gold Star Mother's Day,,Observance,Gold Star Mother’s Day is annually observed in the United States on the last Sunday of September.
US,2025,2025-09-28,International Day for Universal Access to Information,,United Nations observance,International Day for Universal Access to Information is a United Nations observance in the USA
US,2025,2025-09-28,World Rabies Day,,Worldwide observance,World Rabies Day is annually observed on September 28 to raise awareness about rabies and how it can be prevented.
US,2025,2025-09-29,International Day of Awareness of Food Loss and Waste,,United Nations observance,International Day of Awareness of Food Loss and Waste is a United Nations observance in the USA
US,2025,2025-09-29,World Heart Day,,Worldwide observance,World Heart Day raises awareness of cardiovascular diseases and ways to reduce their risk.
US,2025,2025-09-30,International Translation Day,,United Nations observance,International Translation Day is a United Nations observance in the USA
US,2025,2025-10-01,International Day of Older Persons,,United Nations observance,The United Nations' (UN) International Day of Older Persons is celebrated on October 1 each year as a special day for older persons worldwide.
US,2025,2025-10-01,World Vegetarian Day,,Worldwide observance,"World Vegetarian Day is an annual observation that spreads awareness about the health, environmental, and ethical benefits of following a vegetarian lifestyle. The unofficial holiday encourages people to avoid eating foods that include animal products and to adopt a plant-based diet."
US,2025,2025-10-02,International Day of Non-Violence,,United Nations observance,The United Nations’ (UN) International Day of Non-Violence is a globally observed on October 2 each year to promote non-violence.
US,2025,2025-10-02,Yom Kippur,,Hebrew,Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.
US,2025,2025-10-04,Feast of St Francis of Assisi,,Christian,"Many Catholics in the United States, particularly those with pets, celebrate the Feast of St Francis of Assisi, the patron saint of animals and the environment, on October 4 each year."
US,2025,2025-10-05,World Teachers' Day,,United Nations observance,The United Nations' (UN) World Teachers' Day commemorates the work of teachers and their contributions to society. It is observed on October 5 each year.
US,2025,2025-10-06,Child Health Day,,Observance,Child Health Day is annually celebrated in the United States on the first Monday of October.
US,2025,2025-10-06,German American Day,,Observance,German American Day is a observance in the USA
US,2025,2025-10-06,World Cerebral Palsy Day,,Worldwide observance,"World Cerebral Palsy Day is an annual awareness observation that brings together people with cerebral palsy, their families and loved ones, and organizations working to ensure equal rights for them."
US,2025,2025-10-06,World Habitat Day,,United Nations observance,The United Nations’ (UN) World Habitat Day reflects on the state of human settlements and people’s right to sufficient shelter.
US,2025,2025-10-07,First Day of Sukkot,,Hebrew,"The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in many countries, including the United States."
US,2025,2025-10-08,International Day for Natural Disaster Reduction,,United Nations observance,The United Nations’ (UN) International Day for Natural Disaster Reduction is annually observed on the second Wednesday of October to promote a global culture of natural disaster risk reduction.
US,2025,2025-10-09,Leif Erikson Day,,Observance,Leif Erikson Day honors the first Scandinavian known to have set foot on American soil and the contribution of the Nordic peoples to the United States.
US,2025,2025-10-09,World Post Day,,United Nations observance,World Post Day marks the anniversary of the Universal Postal Union's establishment in 1874. It is held on October 9 each year.
US,2025,2025-10-09,World Sight Day,,Worldwide observance,World Sight Day is annually held on the second Thursday of October to raise awareness about blindness and vision impairment.
US,2025,2025-10-10,World Mental Health Day,,United Nations observance,"World Mental Health Day, which is supported by the United Nations (UN), is annually held on October 10 to raise public awareness about mental health issues worldwide."
US,2025,2025-10-11,International Day of the Girl Child,,United Nations observance,The International Day of the Girl Child is a United Nations (UN) observance on October 11 each year.
US,2025,2025-10-11,World Migratory Bird Day,,United Nations observance,World Migratory Bird Day is observed the second weekend of May every year.
US,2025,2025-10-12,Chicago Marathon,,Sporting event,The Chicago Marathon is one of the six World Marathon Majors and is held annually in October.
US,2025,2025-10-13,Columbus Day,,National holiday,Columbus Day celebrates 15th century explorer Christopher Columbus's arrival in America in 1492.
US,2025,2025-10-13,Last Day of Sukkot,,Hebrew,"Many Jewish communities in countries such as the United States observe the last day of Sukkot, which marks the end of the Sukkot festival."
US,2025,2025-10-13,Navy Birthday,,Observance,"Navy Birthday celebrates the establishment of the United States Navy on October 13, 1775."
US,2025,2025-10-14,Shmini Atzeret,,Hebrew,"Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah."
US,2025,2025-10-15,International Day of Rural Women,,United Nations observance,The United Nations’ (UN) International Day of Rural Women is annually celebrated on October 15 to recognize rural women’s role in supporting their communities.
US,2025,2025-10-15,Simchat Torah,,Hebrew,Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.
US,2025,2025-10-15,White Cane Safety Day,,Observance,White Cane Safety Day is a United States observance annually held on October 15 to celebrate blind and visually impaired people's achievements and the importance of the white cane.
US,2025,2025-10-16,Boss's Day,,Observance,"Boss’s Day is observed in many workplaces in the United States on October 16, or the nearest working day, each year."
US,2025,2025-10-16,World Food Day,,United Nations observance,World Food Day is celebrated on October 16 each year.
US,2025,2025-10-17,International Day for the Eradication of Poverty,,United Nations observance,The United Nations’ (UN) International Day for the Eradication of Poverty is annually observed on October 17 to promote awareness of the need to eradicate poverty worldwide.
US,2025,2025-10-18,Sweetest Day,,Observance,Sweetest Day is a observance in the USA
US,2025,2025-10-20,World Statistics Day,,United Nations observance,World Statistics Day is a UN day that acknowledges the role of statistics in countries' policy decisions.
US,2025,2025-10-24,United Nations Day,,United Nations observance,United Nations Day marks the anniversary of the United Nations Charter coming into force in 1945 and celebrates the work of this organization. United Nations Day annually falls on October 24.
US,2025,2025-10-24,World Development Information Day,,United Nations observance,The United Nations' (UN) World Development Information Day falls on October 24 each year.
US,2025,2025-10-27,World Day for Audiovisual Heritage,,United Nations observance,The World Day for Audiovisual Heritage is observed on October 27 every year.
US,2025,2025-10-29,World Stroke Day,,Worldwide observance,World Stroke Day is annually held on October 29 to raise awareness about stroke and ways to combat it.
US,2025,2025-10-31,Halloween,,Observance,"Halloween is celebrated by hosting costume parties, playing 'trick-or-treat', watching horror films, visiting haunted houses or carving lanterns out of pumpkins."
US,2025,2025-10-31,World Cities Day,,United Nations observance,World Cities Day is a UN observance that aims to recognize the role of cities as  a foundation for social and economic development.
US,2025,2025-11-01,All Saints' Day,,Christian,"Many Catholics honor all the saints on All Saints' Day, also known as All Hallows' Day, in the United States."
US,2025,2025-11-01,First Day of Native American Heritage Month,,Observance,First Day of Native American Heritage Month is a annual monthly observance in the USA
US,2025,2025-11-01,World Vegan Day,,Worldwide observance,World Vegan Day is an annual observation that brings together vegans around the world to bring attention to animal rights and to spread the word about the health advantages of following a vegan diet.
US,2025,2025-11-02,All Souls' Day,,Christian,"Prayers for the dead are made on All Souls’ Day in the United States, which falls on November 2 each year. The Day of the Dead is also celebrated on this day."
US,2025,2025-11-02,International Day to End Impunity for Crimes against Journalists,,United Nations observance,The International Day to End Impunity for Crimes against Journalists raises awareness about violence against journalists.
US,2025,2025-11-02,New York City Marathon,,Sporting event,The New York City Marathon is one of the world's largest marathons and takes place every year in November.
US,2025,2025-11-04,Election Day,,Observance,Election Day in the United States of America is the day on which popular ballots are held to select public officials.
US,2025,2025-11-05,World Tsunami Awareness Day,,United Nations observance,World Tsunami Awareness Day is a United Nations observance in the USA
US,2025,2025-11-06,International Day for Preventing the Exploitation of the Environment in War and Armed Conflict,,United Nations observance,The United Nations’ (UN) International Day for Preventing the Exploitation of the Environment in War and Armed Conflict is held on November 6 each year.
US,2025,2025-11-10,Marine Corps Birthday,,Observance,"Marine Corps Birthday celebrates the establishment of the United States Marine Corps on November 10, 1775."
US,2025,2025-11-10,World Science Day for Peace and Development,,United Nations observance,The World Science Day for Peace and Development (WSDPD) is celebrated on November 10 each year.
