produit,gamme,theme,forme,prix,note,indications,composition,description,posologie,contre_indications,points_positifs,points_negatifs,verdict,note_intelligente,avis_clients,url_image,url_product,lifecycle,texte_rag
Magnésium,Autres,Energie,Gélule,15.354,,"– Anti-stress
– Anti-fatigue
– Aide à dépasser les crampes répétitives","Magnésium, Vitamine B6",Boite de 60 gélules,2 gélules par jour,Aucune,,,,,[],https://vital.com.tn/cdn/shop/products/magnesium.jpg,https://vital.com.tn/products/magnesium/,Croissance,"Produit: Magnésium
Gamme: Autres
Theme: Energie
Indications: – Anti-stress
– Anti-fatigue
– Aide à dépasser les crampes répétitives
Composition: Magnésium, Vitamine B6
Points positifs: 
Verdict: 
Avis clients: "
Magvit Gélules,Autres,Energie,Gélule,15.354,,"• Contribue au fonctionnement normal du système nerveux
• Réduire la fatigue
• Équilibre nerveux",,60 Gélules,,,"Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12",Nécessite une cure de 3 mois minimum,"Excellent produit pour anémie et fatigue, très bien toléré",4.6,"[""Good quality."", ""Bon Produit"", ""Bon produit . aide a rester en forme"", ""Bon rapport qualit\u00e9 prix"", ""Good quality. top""]",https://vital.com.tn/cdn/shop/products/magvit-gelules-2.jpg,https://vital.com.tn/products/magvit-gelules-2/,Croissance,"Produit: Magvit Gélules
Gamme: Autres
Theme: Energie
Indications: • Contribue au fonctionnement normal du système nerveux
• Réduire la fatigue
• Équilibre nerveux
Composition: 
Points positifs: Fer fumarate hautement assimilable, enrichi en spiruline, vitamines B6/B9/B12
Verdict: Excellent produit pour anémie et fatigue, très bien toléré
Avis clients: Good quality. | Bon Produit | Bon produit . aide a rester en forme"
Magvit Sachets,Autres,Energie,Sachet,18.0,,"• Contribue au fonctionnement normal du système nerveux
• Réduire la fatigue
• Équilibre nerveux",,20 Sachets,,,,,,,[],https://vital.com.tn/cdn/shop/products/magvit.jpg,https://vital.com.tn/products/magvit/,Croissance,"Produit: Magvit Sachets
Gamme: Autres
Theme: Energie
Indications: • Contribue au fonctionnement normal du système nerveux
• Réduire la fatigue
• Équilibre nerveux
Composition: 
Points positifs: 
Verdict: 
Avis clients: "
Mémoire et Concentration,Autres,Energie,Gélule,25.635,4.0,"– Période de surmenage
– Troubles de la mémoire
– Période des examens","Extrait de Panax Ginseng, Lécithine de Soja, Oméga3",Boite de 30 gélules,"– 2 gélules le soir pendant 2 mois .
– En cas de trouble de mémoire ou d’activité mentale intense 2 gélules le matin et 2 gélules le soir",Aucune,,,,,[],https://vital.com.tn/cdn/shop/products/memoire-et-concentration-4.jpg,https://vital.com.tn/products/memoire-et-concentration-4/,Croissance,"Produit: Mémoire et Concentration
Gamme: Autres
Theme: Energie
Indications: – Période de surmenage
– Troubles de la mémoire
– Période des examens
Composition: Extrait de Panax Ginseng, Lécithine de Soja, Oméga3
Points positifs: 
Verdict: 
Avis clients: "
Millepertuis,Autres,Autre,Gélule,18.0,3.0,"– Améliore les états d’humeur
– Aide à dépasser des états d’asthénie mentale et psychique",Millepertuis,Boite de 30 gélules,"– 3 gélules par jour
Ce produit est à consommer dans le cadre d’une
alimentation variée et équilibrée","Femme enceinte, allaitante et enfant avant l'âge de 12 ans.",,,,,[],https://vital.com.tn/cdn/shop/products/millepertuis-4.jpg,https://vital.com.tn/products/millepertuis-4/,Croissance,"Produit: Millepertuis
Gamme: Autres
Theme: Autre
Indications: – Améliore les états d’humeur
– Aide à dépasser des états d’asthénie mentale et psychique
Composition: Millepertuis
Points positifs: 
Verdict: 
Avis clients: "
Mincicare,Autres,Minceur,Gélule,29.885,4.0,"Faciliter la perte de poids, stimuler l'élimination urinaire",Extraits végétaux drainants,Complément alimentaire pour la perte de poids et le drainage.,2 gélules par jour,,,,,,"[""super"", ""N\u00e9cessite un regime alimentaire aussi""]",https://vital.com.tn/cdn/shop/products/mincicare-3.jpg,https://vital.com.tn/products/mincicare-3/,Croissance,"Produit: Mincicare
Gamme: Autres
Theme: Minceur
Indications: Faciliter la perte de poids, stimuler l'élimination urinaire
Composition: Extraits végétaux drainants
Points positifs: 
Verdict: 
Avis clients: super | Nécessite un regime alimentaire aussi"
Mincicare 4 actions,Autres,Minceur,Liquide,29.885,4.33,"Draineur, brûleur de graisses, détoxifiant, coupe-faim","Artichaut, L-Carnitine, Piloselle, Thé vert, Cassis, Chiendent, Baradane, Spiruline, Zinc, Pensée sauvage, Orthosiphon, Reine de prés, Chicorée",Complément alimentaire pour la perte de poids et le drainage.,"Diluer une dose de 20 ml dans 1,5 litre d'eau à boire le long de la journée",,,,,,"[""super"", ""N\u00e9cessite un regime alimentaire aussi""]",https://vital.com.tn/cdn/shop/products/mincicare-4-actions.jpg,https://vital.com.tn/products/mincicare-4-actions/,Croissance,"Produit: Mincicare 4 actions
Gamme: Autres
Theme: Minceur
Indications: Draineur, brûleur de graisses, détoxifiant, coupe-faim
Composition: Artichaut, L-Carnitine, Piloselle, Thé vert, Cassis, Chiendent, Baradane, Spiruline, Zinc, Pensée sauvage, Orthosiphon, Reine de prés, Chicorée
Points positifs: 
Verdict: 
Avis clients: super | Nécessite un regime alimentaire aussi"
MINCILGNE Coupe faim,Autres,Digestif,Gélule,24.412,,"Sensation de satiété
Piège pour sucres et graisses
Digestion facile","Fucus, maté, konjac",Boite de 30 Gélules,2 gélules par jour,,,,,,[],https://vital.com.tn/cdn/shop/products/mincilgne-coupe-faim.jpg,https://vital.com.tn/products/mincilgne-coupe-faim/,Croissance,"Produit: MINCILGNE Coupe faim
Gamme: Autres
Theme: Digestif
Indications: Sensation de satiété
Piège pour sucres et graisses
Digestion facile
Composition: Fucus, maté, konjac
Points positifs: 
Verdict: 
Avis clients: "
Minciligne Aux 9 plantes phytoactives,Mincivit/Minciligne,Autre,Liquide,22.0,,Minceur et drainage,"Thé vert, Artichaut, Fenouil, Chiendent, Orthosiphon, Maté, guarana, Piloselle, ananas",Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-aux-9-plantes-phytoactives.jpg,https://vital.com.tn/products/minciligne-aux-9-plantes-phytoactives/,Croissance,"Produit: Minciligne Aux 9 plantes phytoactives
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Minceur et drainage
Composition: Thé vert, Artichaut, Fenouil, Chiendent, Orthosiphon, Maté, guarana, Piloselle, ananas
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Brûle Graisse,Mincivit/Minciligne,Minceur,Gélule,24.0,,Minceur et drainage,"Guarana, ananas, pissenlit",Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-brule-graisse-2.jpg,https://vital.com.tn/products/minciligne-brule-graisse-2/,Croissance,"Produit: Minciligne Brûle Graisse
Gamme: Mincivit/Minciligne
Theme: Minceur
Indications: Minceur et drainage
Composition: Guarana, ananas, pissenlit
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Draineur,Mincivit/Minciligne,Minceur,Gélule,20.203,5.0,"Détoxification du foie, favoriser l'élimination rénale, stimuler la combustion des graisses","Chiendent, Pissenlit, Romarin, Piloselle, Konjac",Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-draineur-2.jpg,https://vital.com.tn/products/minciligne-draineur-2/,Croissance,"Produit: Minciligne Draineur
Gamme: Mincivit/Minciligne
Theme: Minceur
Indications: Détoxification du foie, favoriser l'élimination rénale, stimuler la combustion des graisses
Composition: Chiendent, Pissenlit, Romarin, Piloselle, Konjac
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Homme,Mincivit/Minciligne,Autre,Liquide,24.0,5.0,Drainer et brûler les graisses pour l'homme,"Vitamine C, L-carnitine, Extrait sec de thé vert, Extrait sec de Chiendent, Extrait sec de Fenouil, Extrait sec d'Ananas, Fer, Extrait sec de Maté, Extrait sec de Ginseng, Extrait sec de Guarana, Vitamine B6, Extrait sec de Psyllium",Complément alimentaire pour la minceur et le drainage.,1 sachet par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-homme.jpg,https://vital.com.tn/products/minciligne-homme/,Croissance,"Produit: Minciligne Homme
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Drainer et brûler les graisses pour l'homme
Composition: Vitamine C, L-carnitine, Extrait sec de thé vert, Extrait sec de Chiendent, Extrait sec de Fenouil, Extrait sec d'Ananas, Fer, Extrait sec de Maté, Extrait sec de Ginseng, Extrait sec de Guarana, Vitamine B6, Extrait sec de Psyllium
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Jeune & Ado,Mincivit/Minciligne,Autre,Liquide,18.0,,Minceur et drainage,60 mg d'Extrait sec de Fenouil / 60 mg d'Extrait sec de Fumeterre / 60 mg d'Extrait sec de Frêne / 60 mg d'Extrait sec d'Artichaut / 60 mg d'Extrait sec de Thé vert / 60 mg d'Extrait sec de Pissenlit / 60 mg d'Extrait sec d'Orthosiphon / 60 mg d'Extrait sec de Bouleau ),Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-jeune-ado-2.jpg,https://vital.com.tn/products/minciligne-jeune-ado-2/,Croissance,"Produit: Minciligne Jeune & Ado
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Minceur et drainage
Composition: 60 mg d'Extrait sec de Fenouil / 60 mg d'Extrait sec de Fumeterre / 60 mg d'Extrait sec de Frêne / 60 mg d'Extrait sec d'Artichaut / 60 mg d'Extrait sec de Thé vert / 60 mg d'Extrait sec de Pissenlit / 60 mg d'Extrait sec d'Orthosiphon / 60 mg d'Extrait sec de Bouleau )
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Postnatale,Mincivit/Minciligne,Articulations,Liquide,22.0,,Aider les jeunes mamans à retrouver leur silhouette après la grossesse,"Fenouil, chiendent, ananas, spiruline, artichaut, piloselle, orange amer, psyllium, Vitamine B6, Vitamine D",Complément alimentaire pour la minceur et le drainage.,1 dose par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-postnatale.jpg,https://vital.com.tn/products/minciligne-postnatale/,Croissance,"Produit: Minciligne Postnatale
Gamme: Mincivit/Minciligne
Theme: Articulations
Indications: Aider les jeunes mamans à retrouver leur silhouette après la grossesse
Composition: Fenouil, chiendent, ananas, spiruline, artichaut, piloselle, orange amer, psyllium, Vitamine B6, Vitamine D
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Minciligne Vitaminé,Mincivit/Minciligne,Autre,Liquide,20.0,5.0,Minceur et drainage,"Vitamine C, L-carnitine, Extrait sec Thé vert, Extrait sec de Fenouil, Extrait sec de Chiendent, Extrait sec d'Ananas, Fer, Extrait sec de Maté, Extrait sec de Guarana, Vitamine B2, Vitamine B6, Vitamine B1, Vitamine A, Sélénium, Vitamine B12",Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,"Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle",Doit être associé à régime et activité physique,Complément efficace dans cadre d'une démarche globale minceur,4.2,[],https://vital.com.tn/cdn/shop/products/minciligne-vitamine-2-2.jpg,https://vital.com.tn/products/minciligne-vitamine-2-2/,Croissance,"Produit: Minciligne Vitaminé
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Minceur et drainage
Composition: Vitamine C, L-carnitine, Extrait sec Thé vert, Extrait sec de Fenouil, Extrait sec de Chiendent, Extrait sec d'Ananas, Fer, Extrait sec de Maté, Extrait sec de Guarana, Vitamine B2, Vitamine B6, Vitamine B1, Vitamine A, Sélénium, Vitamine B12
Points positifs: Thé vert, Guarana, L-Carnitine, Artichaut, Piloselle
Verdict: Complément efficace dans cadre d'une démarche globale minceur
Avis clients: "
Mincivit Detox,Mincivit/Minciligne,Autre,Autre,22.0,,"Détoxification, drainage",Extrait sec de thé vert / Extrait sec d’artichaut / Extrait sec de desmodium / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec de bouleau,Complément alimentaire pour la minceur et le drainage.,Diluer dans de l'eau et boire au long de la journée,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-detox.jpg,https://vital.com.tn/products/mincivit-detox/,Croissance,"Produit: Mincivit Detox
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Détoxification, drainage
Composition: Extrait sec de thé vert / Extrait sec d’artichaut / Extrait sec de desmodium / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec de bouleau
Points positifs: 
Verdict: 
Avis clients: "
Mincivit Lait anti vergetures,Mincivit/Minciligne,Autre,Autre,18.0,,Prévention des vergetures,"Gel d'aloès, Beurre de Karité, Huile d'Amande douce, Huile de sésame, Vitamine E, Huile de Bourrache",Complément alimentaire pour la minceur et le drainage.,Appliquer sur les zones concernées,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-lait-anti-vergetures.jpg,https://vital.com.tn/products/mincivit-lait-anti-vergetures/,Croissance,"Produit: Mincivit Lait anti vergetures
Gamme: Mincivit/Minciligne
Theme: Autre
Indications: Prévention des vergetures
Composition: Gel d'aloès, Beurre de Karité, Huile d'Amande douce, Huile de sésame, Vitamine E, Huile de Bourrache
Points positifs: 
Verdict: 
Avis clients: "
Mincivit origin,Mincivit/Minciligne,Minceur,Autre,20.0,,"Minceur, drainage",Vinaigre de cidre / Extrait sec de thé vert / Extrait sec d’artichaut / Extrait sec de Chiendent / Extrait sec d'anis / Extrait sec de Fenouil,Complément alimentaire pour la minceur et le drainage.,2 gélules par jour,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-origin.jpg,https://vital.com.tn/products/mincivit-origin/,Croissance,"Produit: Mincivit origin
Gamme: Mincivit/Minciligne
Theme: Minceur
Indications: Minceur, drainage
Composition: Vinaigre de cidre / Extrait sec de thé vert / Extrait sec d’artichaut / Extrait sec de Chiendent / Extrait sec d'anis / Extrait sec de Fenouil
Points positifs: 
Verdict: 
Avis clients: "
Mincivit ultra draineur poire & pêche,Mincivit/Minciligne,Beauté/Peau,,22.243,,"Drainage, détoxification",Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumeterre,Complément alimentaire pour la minceur et le drainage.,Diluer dans de l'eau et boire au long de la journée,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-ultra-draineur-poire-peche.jpg,https://vital.com.tn/products/mincivit-ultra-draineur-poire-peche/,Croissance,"Produit: Mincivit ultra draineur poire & pêche
Gamme: Mincivit/Minciligne
Theme: Beauté/Peau
Indications: Drainage, détoxification
Composition: Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumeterre
Points positifs: 
Verdict: 
Avis clients: "
Mincivit ultra draineur Pomme & Kiwi,Mincivit/Minciligne,Beauté/Peau,,22.243,,"Drainage, détoxification",Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumettre,Complément alimentaire pour la minceur et le drainage.,Diluer dans de l'eau et boire au long de la journée,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-ultra-draineur-pomme-kiwi.jpg,https://vital.com.tn/products/mincivit-ultra-draineur-pomme-kiwi/,Croissance,"Produit: Mincivit ultra draineur Pomme & Kiwi
Gamme: Mincivit/Minciligne
Theme: Beauté/Peau
Indications: Drainage, détoxification
Composition: Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumettre
Points positifs: 
Verdict: 
Avis clients: "
Mincivit ultra draineur Raisin & Cerise,Mincivit/Minciligne,Beauté/Peau,,22.243,,"Drainage, détoxification",Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumettre,Complément alimentaire pour la minceur et le drainage.,Diluer dans de l'eau et boire au long de la journée,,,,,,[],https://vital.com.tn/cdn/shop/products/mincivit-ultra-draineur-raison-et-cassis.jpg,https://vital.com.tn/products/mincivit-ultra-draineur-raison-et-cassis/,Croissance,"Produit: Mincivit ultra draineur Raisin & Cerise
Gamme: Mincivit/Minciligne
Theme: Beauté/Peau
Indications: Drainage, détoxification
Composition: Extrait sec de thé vert / Extrait sec de pissenlit / Extrait sec de Fenouil / Extrait sec de piloselle / Extrait sec d'othosiphon / Extrait sec de fumettre
Points positifs: 
Verdict: 
Avis clients: "
Moustik gel,Autres,Autre,Gel/Crème,7.0,,"Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres","Essence de citronnelle, Extrait glycolique de calendula",Répulsif anti-moustiques et insectes.,Appliquer sur la peau et frotter doucement,,,,,,[],https://vital.com.tn/cdn/shop/products/moustik-gel-2.jpg,https://vital.com.tn/products/moustik-gel-2/,Croissance,"Produit: Moustik gel
Gamme: Autres
Theme: Autre
Indications: Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres
Composition: Essence de citronnelle, Extrait glycolique de calendula
Points positifs: 
Verdict: 
Avis clients: "
Moustik Lotion spray,Autres,Autre,Spray,12.9,,"Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres","Essence de citronnelle, gel d'aloés vera, Extrait sec d'arnica",Répulsif anti-moustiques et insectes.,Appliquer sur la peau et frotter doucement,,,,,,"[""behi barcha""]",https://vital.com.tn/cdn/shop/products/moustik-lotion-spray.jpg,https://vital.com.tn/products/moustik-lotion-spray/,Croissance,"Produit: Moustik Lotion spray
Gamme: Autres
Theme: Autre
Indications: Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres
Composition: Essence de citronnelle, gel d'aloés vera, Extrait sec d'arnica
Points positifs: 
Verdict: 
Avis clients: behi barcha"
Moustik savon,Autres,Autre,Savon,6.325,,"Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres","Essence de citronnelle, extraits naturels",Répulsif anti-moustiques et insectes.,Lavage quotidien,,,,,,"[""franchement toppp"", ""Un des meilleurs pour moi"", ""Je recommande"", ""soum behii""]",https://vital.com.tn/cdn/shop/products/moustik.jpg,https://vital.com.tn/products/moustik/,Croissance,"Produit: Moustik savon
Gamme: Autres
Theme: Autre
Indications: Répulsif et protège contre les piqûres d'insectes, soulage et apaise les piqûres
Composition: Essence de citronnelle, extraits naturels
Points positifs: 
Verdict: 
Avis clients: franchement toppp | Un des meilleurs pour moi | Je recommande"
multi vitamines,Autres,Enfants,,16.0,,Apport vitaminique complet,"vitamine C ,Vitamine B5 , Vitamine B2, vitamine B6, vitamine A , vitamine B1, Vitamine B9 ,vitamine B8 ,Vitamine D3 , vitamine B12",Complément alimentaire multivitaminé.,1 gélule par jour,,,,,,"[""super""]",https://vital.com.tn/cdn/shop/products/multi-vitamines-2.jpg,https://vital.com.tn/products/multi-vitamines-2/,Croissance,"Produit: multi vitamines
Gamme: Autres
Theme: Enfants
Indications: Apport vitaminique complet
Composition: vitamine C ,Vitamine B5 , Vitamine B2, vitamine B6, vitamine A , vitamine B1, Vitamine B9 ,vitamine B8 ,Vitamine D3 , vitamine B12
Points positifs: 
Verdict: 
Avis clients: super"
MULTIBON APIGORGE,Multibon,Articulations,Autre,16.0,4.0,"– Réduit l’inflammation et la douleur au niveau
de la gorge
– Change l’haleine","- 180 mg de Vitamine C, - 30 mg d’extrait de plantain (Plantago lanceolata), - 30 mg d’extrait d’echinacée (Echinacera purpurea L.), - 15 mg d’extrait de Propolis, - 6 mg de huile essentielle d’eucalyptus (Eucalyptus globulus)",Boite de 30 gummies,"– Enfant à partir de 3 ans:
2 gummies par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-apigorge.jpg,https://vital.com.tn/products/multibon-apigorge/,Croissance,"Produit: MULTIBON APIGORGE
Gamme: Multibon
Theme: Articulations
Indications: – Réduit l’inflammation et la douleur au niveau
de la gorge
– Change l’haleine
Composition: - 180 mg de Vitamine C, - 30 mg d’extrait de plantain (Plantago lanceolata), - 30 mg d’extrait d’echinacée (Echinacera purpurea L.), - 15 mg d’extrait de Propolis, - 6 mg de huile essentielle d’eucalyptus (Eucalyptus globulus)
Points positifs: 
Verdict: 
Avis clients: "
MULTIBON CALCIUM-VIT.D3,Multibon,Articulations,Autre,16.0,4.0,"– Permet un apport quotidien en
calcium
– Améliore le développement et la croissance des os
et dents","- 480 mg de Calcium, - 10 µg de Vitamine D3",Boite de 30 gummies,"– Enfant à partir de 3 ans:
1 à 4 gummies par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-calcium-vit-d3-2.jpg,https://vital.com.tn/products/multibon-calcium-vit-d3-2/,Croissance,"Produit: MULTIBON CALCIUM-VIT.D3
Gamme: Multibon
Theme: Articulations
Indications: – Permet un apport quotidien en
calcium
– Améliore le développement et la croissance des os
et dents
Composition: - 480 mg de Calcium, - 10 µg de Vitamine D3
Points positifs: 
Verdict: 
Avis clients: "
MULTIBON FER,Multibon,Autre,Autre,16.0,5.0,"– Prévient les carences en fer et restitue les réserves en
fer
– Aide à la normalisation de l’hemoglobine et la
formation des globules rouges",- 7 mg de Fer élément (27.37% Bisglycinate de fer),Boite de 30 gummies,– 2 gummies par jour,,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-fer-2.jpg,https://vital.com.tn/products/multibon-fer-2/,Croissance,"Produit: MULTIBON FER
Gamme: Multibon
Theme: Autre
Indications: – Prévient les carences en fer et restitue les réserves en
fer
– Aide à la normalisation de l’hemoglobine et la
formation des globules rouges
Composition: - 7 mg de Fer élément (27.37% Bisglycinate de fer)
Points positifs: 
Verdict: 
Avis clients: "
MULTIBON IMMUNITÉ,Multibon,Immunité,Autre,16.0,,"– Contribue au renforcement du système
immunitaire
– Améliore les défenses naturelles contre les maladies
virales et infectieuses","- 120 mg d’extrait sec d’Acérola, - 200 mg de Vitamine C, - 10 mg de Propolis, - 20 mg de Zinc",Boite de 30 gummies,"– Enfants entre 3 et 6 ans:
1 à 2 gummies par jour
– Enfants plus de 6 ans:
2 à 4 gummies par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-immunite-2.jpg,https://vital.com.tn/products/multibon-immunite-2/,Croissance,"Produit: MULTIBON IMMUNITÉ
Gamme: Multibon
Theme: Immunité
Indications: – Contribue au renforcement du système
immunitaire
– Améliore les défenses naturelles contre les maladies
virales et infectieuses
Composition: - 120 mg d’extrait sec d’Acérola, - 200 mg de Vitamine C, - 10 mg de Propolis, - 20 mg de Zinc
Points positifs: 
Verdict: 
Avis clients: "
MULTIBON MULTIVITAMINÉ,Multibon,Energie,Autre,16.0,4.5,"– Maintient l’énergie et la vitalité générale
– Garantie les apports nécessaires en vitamines","800 µg Vitamine A, 1.1 mg B1, 1.4 mg B12, 6 mg B5, 1.4 mg B6, 200 µg B9, 2.5 µg B12, 80 mg C, 5 µg D, 12 mg E",Boite de 30 gummies,– < 6 ans: 2 gummies / jour - > 6 ans: 3 gummies / jour,,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-multivitamine-2.jpg,https://vital.com.tn/products/multibon-multivitamine-2/,Croissance,"Produit: MULTIBON MULTIVITAMINÉ
Gamme: Multibon
Theme: Energie
Indications: – Maintient l’énergie et la vitalité générale
– Garantie les apports nécessaires en vitamines
Composition: 800 µg Vitamine A, 1.1 mg B1, 1.4 mg B12, 6 mg B5, 1.4 mg B6, 200 µg B9, 2.5 µg B12, 80 mg C, 5 µg D, 12 mg E
Points positifs: 
Verdict: 
Avis clients: "
MULTIBON OMEGA 3,Multibon,Energie,Autre,16.0,4.0,"– Participe à la croissance et le bon développement
des enfants
– Soutient les fonctions cognitives et renforce
la concentration et la mémorisation","- 24 mg de Vitamine C, - 1200 mg d’Oméga 3 Algue (100% DHA)",Boite de 30 gummies,"– Enfant à partir de 3 ans:
1 à 4 gummies par jour",,"EPA+DHA + Vitamine E, encapsulation de qualité",Prix élevé comparé aux omégas basiques,"Excellent rapport qualité/prix, efficacité prouvée",4.7,"[""C\u2019est l\u2019Omega 3 que j\u2019utilise pour mes cures !"", ""Un Bon produit pour les yeux"", ""bon produit"", ""je le recommande"", ""excellent""]",https://vital.com.tn/cdn/shop/products/multibon-omega-3.jpg,https://vital.com.tn/products/multibon-omega-3/,Croissance,"Produit: MULTIBON OMEGA 3
Gamme: Multibon
Theme: Energie
Indications: – Participe à la croissance et le bon développement
des enfants
– Soutient les fonctions cognitives et renforce
la concentration et la mémorisation
Composition: - 24 mg de Vitamine C, - 1200 mg d’Oméga 3 Algue (100% DHA)
Points positifs: EPA+DHA + Vitamine E, encapsulation de qualité
Verdict: Excellent rapport qualité/prix, efficacité prouvée
Avis clients: C’est l’Omega 3 que j’utilise pour mes cures ! | Un Bon produit pour les yeux | bon produit"
MULTIBON SOMMEIL,Multibon,Sommeil,Autre,16.0,5.0,"– Favorise l’endormissement
– Améliore la qualité du sommeil
– Evite les réveils nocturnes","- 50 mg d’extrait sec de Passiflore (Passiflora incarnata), - 25 mg d’extrait sec de lavande (Lavandula angustifolia), - 17.6 mg d’extrait de Camomille (Matricaria recutita), - 85 mg d’eau de fleur d’oranger",Boite de 30 gummies,"– Enfant 3 à 6 ans: 2 gummies par jour
– Enfant 7 à 12 ans: 3 gummies par jour",,,,,,[],https://vital.com.tn/cdn/shop/products/multibon-sommeil-2.jpg,https://vital.com.tn/products/multibon-sommeil-2/,Croissance,"Produit: MULTIBON SOMMEIL
Gamme: Multibon
Theme: Sommeil
Indications: – Favorise l’endormissement
– Améliore la qualité du sommeil
– Evite les réveils nocturnes
Composition: - 50 mg d’extrait sec de Passiflore (Passiflora incarnata), - 25 mg d’extrait sec de lavande (Lavandula angustifolia), - 17.6 mg d’extrait de Camomille (Matricaria recutita), - 85 mg d’eau de fleur d’oranger
Points positifs: 
Verdict: 
Avis clients: "
